asset_class,market,symbol,yf_ticker,name,gics_sector,industry,currency,market_cap_tier,market_cap_usd_bn
Bond/Rate,United States,IRX,^IRX,13-Week Treasury Bill Yield,Government Yields,Short-term Rate,USD,--,
Bond/Rate,United States,FVX,^FVX,5-Year Treasury Yield,Government Yields,Medium-term Rate,USD,--,
Bond/Rate,United States,TNX,^TNX,10-Year Treasury Yield,Government Yields,Long-term Rate,USD,--,
Bond/Rate,United States,TYX,^TYX,30-Year Treasury Yield,Government Yields,Long-term Rate,USD,--,
Bond/Rate,United States,SHY,SHY,iShares 1-3 Year Treasury Bond ETF,Government Bonds,Short-term ETF,USD,--,
Bond/Rate,United States,IEI,IEI,iShares 3-7 Year Treasury Bond ETF,Government Bonds,Medium-term ETF,USD,--,
Bond/Rate,United States,IEF,IEF,iShares 7-10 Year Treasury Bond ETF,Government Bonds,Medium-term ETF,USD,--,
Bond/Rate,United States,TLT,TLT,iShares 20+ Year Treasury Bond ETF,Government Bonds,Long-term ETF,USD,--,
Bond/Rate,United States,AGG,AGG,iShares Core US Aggregate Bond ETF,Aggregate Bonds,Broad Market ETF,USD,--,
Bond/Rate,United States,BND,BND,Vanguard Total Bond Market ETF,Aggregate Bonds,Broad Market ETF,USD,--,
Bond/Rate,United States,LQD,LQD,iShares iBoxx Investment Grade Corp Bond ETF,Corporate Bonds,Investment Grade ETF,USD,--,
Bond/Rate,United States,HYG,HYG,iShares iBoxx High Yield Corp Bond ETF,Corporate Bonds,High Yield ETF,USD,--,
Bond/Rate,United States,MUB,MUB,iShares National Muni Bond ETF,Municipal Bonds,Muni ETF,USD,--,
Bond/Rate,United States,TIP,TIP,iShares TIPS Bond ETF,Inflation-Protected Bonds,TIPS ETF,USD,--,
Bond/Rate,United States,EMB,EMB,iShares JP Morgan EM Bond ETF,Emerging Market Bonds,EM Sovereign ETF,USD,--,
Bond/Rate,United States,BNDX,BNDX,Vanguard Total International Bond ETF,International Bonds,Broad Market ETF,USD,--,
