asset_class,market,symbol,yf_ticker,name,gics_sector,industry,currency,market_cap_tier,market_cap_usd_bn
Commodity,Global,GC,GC=F,Gold Futures,Precious Metals,Futures,USD,--,
Commodity,Global,SI,SI=F,Silver Futures,Precious Metals,Futures,USD,--,
Commodity,Global,PL,PL=F,Platinum Futures,Precious Metals,Futures,USD,--,
Commodity,Global,PA,PA=F,Palladium Futures,Precious Metals,Futures,USD,--,
Commodity,Global,HG,HG=F,Copper Futures,Industrial Metals,Futures,USD,--,
Commodity,Global,CL,CL=F,WTI Crude Oil Futures,Energy,Futures,USD,--,
Commodity,Global,BZ,BZ=F,Brent Crude Oil Futures,Energy,Futures,USD,--,
Commodity,Global,NG,NG=F,Natural Gas Futures,Energy,Futures,USD,--,
Commodity,Global,RB,RB=F,RBOB Gasoline Futures,Energy,Futures,USD,--,
Commodity,Global,HO,HO=F,Heating Oil Futures,Energy,Futures,USD,--,
Commodity,Global,ZC,ZC=F,Corn Futures,Agriculture,Futures,USD,--,
Commodity,Global,ZW,ZW=F,Wheat Futures,Agriculture,Futures,USD,--,
Commodity,Global,ZS,ZS=F,Soybean Futures,Agriculture,Futures,USD,--,
Commodity,Global,KC,KC=F,Coffee Futures,Agriculture,Futures,USD,--,
Commodity,Global,CT,CT=F,Cotton Futures,Agriculture,Futures,USD,--,
Commodity,Global,SB,SB=F,Sugar Futures,Agriculture,Futures,USD,--,
Commodity,Global,CC,CC=F,Cocoa Futures,Agriculture,Futures,USD,--,
Commodity,Global,LE,LE=F,Live Cattle Futures,Agriculture,Futures,USD,--,
Commodity,Global,GLD,GLD,SPDR Gold Shares,Precious Metals,ETF,USD,--,
Commodity,Global,SLV,SLV,iShares Silver Trust,Precious Metals,ETF,USD,--,
Commodity,Global,USO,USO,United States Oil Fund,Energy,ETF,USD,--,
Commodity,Global,UNG,UNG,United States Natural Gas Fund,Energy,ETF,USD,--,
Commodity,Global,DBC,DBC,Invesco DB Commodity Index Tracking,Broad Commodities,ETF,USD,--,
Commodity,Global,DBA,DBA,Invesco DB Agriculture Fund,Agriculture,ETF,USD,--,
