asset_class,market,symbol,yf_ticker,name,gics_sector,industry,currency,market_cap_tier,market_cap_usd_bn
Crypto,Global,BTC,BTC-USD,Bitcoin,Store of Value,Layer 1,USD,--,
Crypto,Global,ETH,ETH-USD,Ethereum,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,USDT,USDT-USD,Tether,Stablecoin,Fiat-backed Stablecoin,USD,--,
Crypto,Global,BNB,BNB-USD,BNB,Exchange Token,Layer 1,USD,--,
Crypto,Global,SOL,SOL-USD,Solana,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,USDC,USDC-USD,USD Coin,Stablecoin,Fiat-backed Stablecoin,USD,--,
Crypto,Global,XRP,XRP-USD,XRP,Payments,Payments,USD,--,
Crypto,Global,DOGE,DOGE-USD,Dogecoin,Meme,Meme Coin,USD,--,
Crypto,Global,ADA,ADA-USD,Cardano,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,TON,TON11419-USD,Toncoin,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,AVAX,AVAX-USD,Avalanche,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,SHIB,SHIB-USD,Shiba Inu,Meme,Meme Coin,USD,--,
Crypto,Global,TRX,TRX-USD,TRON,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,DOT,DOT-USD,Polkadot,Interoperability,Layer 0,USD,--,
Crypto,Global,LINK,LINK-USD,Chainlink,Oracle,Oracle / Middleware,USD,--,
Crypto,Global,MATIC,POL-USD,Polygon (POL),Scaling,Layer 2,USD,--,
Crypto,Global,BCH,BCH-USD,Bitcoin Cash,Payments,Layer 1,USD,--,
Crypto,Global,LTC,LTC-USD,Litecoin,Payments,Layer 1,USD,--,
Crypto,Global,NEAR,NEAR-USD,NEAR Protocol,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,ICP,ICP-USD,Internet Computer,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,UNI,UNI7083-USD,Uniswap,DeFi,Decentralized Exchange,USD,--,
Crypto,Global,APT,APT21794-USD,Aptos,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,ETC,ETC-USD,Ethereum Classic,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,XLM,XLM-USD,Stellar,Payments,Payments,USD,--,
Crypto,Global,ATOM,ATOM-USD,Cosmos Hub,Interoperability,Layer 0,USD,--,
Crypto,Global,HBAR,HBAR-USD,Hedera,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,FIL,FIL-USD,Filecoin,Infrastructure,Decentralized Storage,USD,--,
Crypto,Global,ARB,ARB11841-USD,Arbitrum,Scaling,Layer 2,USD,--,
Crypto,Global,OP,OP-USD,Optimism,Scaling,Layer 2,USD,--,
Crypto,Global,VET,VET-USD,VeChain,Supply Chain,Layer 1,USD,--,
Crypto,Global,MKR,MKR-USD,Maker,DeFi,Lending / Stablecoin Issuer,USD,--,
Crypto,Global,AAVE,AAVE-USD,Aave,DeFi,Lending,USD,--,
Crypto,Global,ALGO,ALGO-USD,Algorand,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,SAND,SAND-USD,The Sandbox,Metaverse / Gaming,Gaming Token,USD,--,
Crypto,Global,MANA,MANA-USD,Decentraland,Metaverse / Gaming,Gaming Token,USD,--,
Crypto,Global,GRT,GRT6719-USD,The Graph,Infrastructure,Indexing Protocol,USD,--,
Crypto,Global,INJ,INJ-USD,Injective,DeFi,Derivatives Chain,USD,--,
Crypto,Global,SUI,SUI20947-USD,Sui,Smart Contract Platform,Layer 1,USD,--,
Crypto,Global,RUNE,RUNE-USD,THORChain,DeFi,Cross-chain DEX,USD,--,
Crypto,Global,PEPE,PEPE24478-USD,Pepe,Meme,Meme Coin,USD,--,
