asset_class,market,symbol,yf_ticker,name,gics_sector,industry,currency,market_cap_tier,market_cap_usd_bn
Equity,Canada,RY,RY.TO,Royal Bank of Canada,Financials,Diversified Banks,CAD,Mega Cap,200.0
Equity,Canada,TD,TD.TO,Toronto-Dominion Bank,Financials,Diversified Banks,CAD,Large Cap,130.0
Equity,Canada,BNS,BNS.TO,Bank of Nova Scotia,Financials,Diversified Banks,CAD,Large Cap,75.0
Equity,Canada,BMO,BMO.TO,Bank of Montreal,Financials,Diversified Banks,CAD,Large Cap,90.0
Equity,Canada,CM,CM.TO,Canadian Imperial Bank of Commerce,Financials,Diversified Banks,CAD,Large Cap,60.0
Equity,Canada,ENB,ENB.TO,Enbridge Inc.,Energy,Oil & Gas Storage & Transport,CAD,Large Cap,110.0
Equity,Canada,TRP,TRP.TO,TC Energy Corporation,Energy,Oil & Gas Storage & Transport,CAD,Large Cap,55.0
Equity,Canada,CNQ,CNQ.TO,Canadian Natural Resources,Energy,Oil & Gas E&P,CAD,Large Cap,75.0
Equity,Canada,SU,SU.TO,Suncor Energy Inc.,Energy,Integrated Oil & Gas,CAD,Large Cap,60.0
Equity,Canada,SHOP,SHOP.TO,Shopify Inc.,Information Technology,Software,CAD,Large Cap,160.0
Equity,Canada,BN,BN.TO,Brookfield Corporation,Financials,Asset Management,CAD,Large Cap,120.0
Equity,Canada,BAM,BAM.TO,Brookfield Asset Management,Financials,Asset Management,CAD,Mid Cap,25.0
Equity,Canada,CP,CP.TO,Canadian Pacific Kansas City,Industrials,Rail Transportation,CAD,Large Cap,65.0
Equity,Canada,CNR,CNR.TO,Canadian National Railway,Industrials,Rail Transportation,CAD,Large Cap,75.0
Equity,Canada,ABX,ABX.TO,Barrick Mining Corporation,Materials,Gold Mining,CAD,Mid Cap,35.0
Equity,Canada,MFC,MFC.TO,Manulife Financial Corp.,Financials,Life Insurance,CAD,Large Cap,65.0
Equity,Canada,SLF,SLF.TO,Sun Life Financial Inc.,Financials,Life Insurance,CAD,Mid Cap,40.0
Equity,Canada,BCE,BCE.TO,BCE Inc.,Communication Services,Telecom Services,CAD,Mid Cap,25.0
Equity,Canada,T-CA,T.TO,TELUS Corporation,Communication Services,Telecom Services,CAD,Mid Cap,28.0
Equity,Canada,L,L.TO,Loblaw Companies Ltd.,Consumer Staples,Food Retail,CAD,Mid Cap,45.0
Equity,Canada,NTR,NTR.TO,Nutrien Ltd.,Materials,Fertilizers,CAD,Mid Cap,22.0
Equity,Canada,FNV,FNV.TO,Franco-Nevada Corporation,Materials,Gold Mining,CAD,Mid Cap,35.0
Equity,Canada,AEM,AEM.TO,Agnico Eagle Mines Ltd.,Materials,Gold Mining,CAD,Large Cap,55.0
Equity,Canada,CSU,CSU.TO,Constellation Software Inc.,Information Technology,Software,CAD,Large Cap,90.0
Equity,Canada,ATD,ATD.TO,Alimentation Couche-Tard,Consumer Staples,Food Retail,CAD,Large Cap,55.0
Equity,Canada,WCN,WCN.TO,Waste Connections Inc.,Industrials,Environmental Services,CAD,Mid Cap,45.0
Equity,Canada,FFH,FFH.TO,Fairfax Financial Holdings,Financials,Property & Casualty Insurance,CAD,Mid Cap,45.0
