asset_class,market,symbol,yf_ticker,name,gics_sector,industry,currency,market_cap_tier,market_cap_usd_bn
Equity,South Africa,BHG,BHG.JO,BHP Group Limited,Materials,Diversified Mining,ZAR,Mega Cap,197.3
Equity,South Africa,ANH,ANH.JO,Anheuser-Busch InBev SA/NV,Consumer Staples,Brewers,ZAR,Mega Cap,145.41
Equity,South Africa,CFR,CFR.JO,Compagnie Financière Richemont SA,Consumer Discretionary,Luxury Goods,ZAR,Mega Cap,124.32
Equity,South Africa,BTI,BTI.JO,British American Tobacco p.l.c.,Consumer Staples,Tobacco,ZAR,Mega Cap,112.43
Equity,South Africa,PRX,PRX.JO,Prosus N.V.,Consumer Discretionary,Internet & Direct Marketing Retail,ZAR,Mega Cap,90.81
Equity,South Africa,GLN,GLN.JO,Glencore plc,Materials,Diversified Mining & Commodities Trading,ZAR,Mega Cap,77.3
Equity,South Africa,AGL,AGL.JO,Anglo American plc,Materials,Diversified Mining,ZAR,Mega Cap,50.84
Equity,South Africa,ANG,ANG.JO,AngloGold Ashanti plc,Materials,Gold Mining,ZAR,Mega Cap,42.94
Equity,South Africa,NPN,NPN.JO,Naspers Limited,Consumer Discretionary,Internet & Direct Marketing Retail,ZAR,Mega Cap,37.18
Equity,South Africa,GFI,GFI.JO,Gold Fields Limited,Materials,Gold Mining,ZAR,Mega Cap,32.08
Equity,South Africa,FSR,FSR.JO,FirstRand Limited,Financials,Banks,ZAR,Mega Cap,30.39
Equity,South Africa,CPI,CPI.JO,Capitec Limited,Financials,Banks,ZAR,Mega Cap,30.24
Equity,South Africa,SBK,SBK.JO,Standard Bank Group Limited,Financials,Banks,ZAR,Mega Cap,29.11
Equity,South Africa,VAL,VAL.JO,Valterra Platinum Limited,Materials,Platinum Group Metals,ZAR,Mega Cap,20.4
Equity,South Africa,MTN,MTN.JO,MTN Group Limited,Communication Services,Wireless Telecom,ZAR,Mega Cap,20.36
