asset_class,market,symbol,yf_ticker,name,gics_sector,industry,currency,market_cap_tier,market_cap_usd_bn
Equity,United States,AAPL,AAPL,Apple Inc.,Information Technology,Technology Hardware,USD,Mega Cap,3400.0
Equity,United States,MSFT,MSFT,Microsoft Corporation,Information Technology,Systems Software,USD,Mega Cap,3200.0
Equity,United States,NVDA,NVDA,NVIDIA Corporation,Information Technology,Semiconductors,USD,Mega Cap,3600.0
Equity,United States,GOOGL,GOOGL,Alphabet Inc.,Communication Services,Interactive Media,USD,Mega Cap,2400.0
Equity,United States,AMZN,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet Retail,USD,Mega Cap,2300.0
Equity,United States,META,META,Meta Platforms Inc.,Communication Services,Interactive Media,USD,Mega Cap,1600.0
Equity,United States,AVGO,AVGO,Broadcom Inc.,Information Technology,Semiconductors,USD,Mega Cap,1300.0
Equity,United States,TSLA,TSLA,Tesla Inc.,Consumer Discretionary,Automobiles,USD,Mega Cap,1100.0
Equity,United States,ORCL,ORCL,Oracle Corporation,Information Technology,Software,USD,Mega Cap,550.0
Equity,United States,CRM,CRM,Salesforce Inc.,Information Technology,Software,USD,Mega Cap,290.0
Equity,United States,ADBE,ADBE,Adobe Inc.,Information Technology,Software,USD,Mega Cap,220.0
Equity,United States,AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,USD,Mega Cap,260.0
Equity,United States,CSCO,CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment,USD,Mega Cap,250.0
Equity,United States,IBM,IBM,International Business Machines,Information Technology,IT Services,USD,Mega Cap,230.0
Equity,United States,QCOM,QCOM,Qualcomm Inc.,Information Technology,Semiconductors,USD,Large Cap,190.0
Equity,United States,TXN,TXN,Texas Instruments,Information Technology,Semiconductors,USD,Large Cap,180.0
Equity,United States,INTC,INTC,Intel Corporation,Information Technology,Semiconductors,USD,Large Cap,110.0
Equity,United States,NFLX,NFLX,Netflix Inc.,Communication Services,Entertainment,USD,Mega Cap,400.0
Equity,United States,DIS,DIS,Walt Disney Company,Communication Services,Entertainment,USD,Mega Cap,210.0
Equity,United States,CMCSA,CMCSA,Comcast Corporation,Communication Services,Media,USD,Large Cap,150.0
Equity,United States,TMUS,TMUS,T-Mobile US Inc.,Communication Services,Wireless Telecom,USD,Mega Cap,260.0
Equity,United States,VZ,VZ,Verizon Communications,Communication Services,Telecom Services,USD,Large Cap,180.0
Equity,United States,T,T,AT&T Inc.,Communication Services,Telecom Services,USD,Large Cap,190.0
Equity,United States,JPM,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,USD,Mega Cap,700.0
Equity,United States,BAC,BAC,Bank of America Corp.,Financials,Diversified Banks,USD,Mega Cap,330.0
Equity,United States,WFC,WFC,Wells Fargo & Company,Financials,Diversified Banks,USD,Mega Cap,240.0
Equity,United States,GS,GS,Goldman Sachs Group,Financials,Investment Banking,USD,Mega Cap,220.0
Equity,United States,MS,MS,Morgan Stanley,Financials,Investment Banking,USD,Mega Cap,210.0
Equity,United States,C,C,Citigroup Inc.,Financials,Diversified Banks,USD,Large Cap,160.0
Equity,United States,V,V,Visa Inc.,Financials,Payments,USD,Mega Cap,650.0
Equity,United States,MA,MA,Mastercard Inc.,Financials,Payments,USD,Mega Cap,480.0
Equity,United States,AXP,AXP,American Express Co.,Financials,Consumer Finance,USD,Mega Cap,210.0
Equity,United States,BLK,BLK,BlackRock Inc.,Financials,Asset Management,USD,Large Cap,150.0
Equity,United States,SCHW,SCHW,Charles Schwab Corp.,Financials,Capital Markets,USD,Large Cap,160.0
Equity,United States,BRK-B,BRK-B,Berkshire Hathaway Inc.,Financials,Multi-line Insurance,USD,Mega Cap,1050.0
Equity,United States,PGR,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,USD,Large Cap,150.0
Equity,United States,UNH,UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,USD,Mega Cap,320.0
Equity,United States,JNJ,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,USD,Mega Cap,400.0
Equity,United States,LLY,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,USD,Mega Cap,800.0
Equity,United States,ABBV,ABBV,AbbVie Inc.,Health Care,Biotechnology,USD,Mega Cap,380.0
Equity,United States,PFE,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,USD,Large Cap,150.0
